Release;File;Size;LocTouched;LocAdded;MaxLocAdded;AvgLocAdded;Nauth;Nfix;Nr;ChgSetSize;Buggy
1;src/jvm/backtype/storm/task/IBolt.java;13;71;69;67;23;1;0;3;108;No
1;src/jvm/backtype/storm/task/IInternalOutputCollector.java;12;48;12;12;3;3;0;4;310;No
1;src/jvm/backtype/storm/task/IOutputCollector.java;12;104;59;15;3.28;4;0;18;581;No
1;src/jvm/backtype/storm/task/KeyedFairBolt.java;63;65;63;61;21;1;0;3;115;No
1;src/jvm/backtype/storm/task/OutputCollector.java;83;723;502;166;33.47;4;0;15;544;No
1;src/jvm/backtype/storm/task/OutputCollectorImpl.java;71;419;126;82;7;4;0;18;471;No
1;src/jvm/backtype/storm/task/ShellBolt.java;191;1092;684;194;16.68;12;0;41;747;No
1;src/jvm/backtype/storm/task/TopologyContext.java;154;1669;958;313;17.42;8;0;55;837;No
1;src/jvm/backtype/storm/testing/AckFailDelegate.java;8;8;8;8;8;1;0;1;107;No
1;src/jvm/backtype/storm/testing/AckTracker.java;35;35;35;35;35;1;0;1;107;No
1;src/jvm/backtype/storm/testing/BoltTracker.java;25;430;155;97;17.22;3;0;9;493;No
1;src/jvm/backtype/storm/testing/FeederSpout.java;83;234;169;75;16.9;4;0;10;492;No
1;src/jvm/backtype/storm/testing/FixedTuple.java;25;45;39;21;6.5;3;0;6;436;No
1;src/jvm/backtype/storm/testing/FixedTupleSpout.java;142;236;224;103;44.8;3;0;5;365;No
1;src/jvm/backtype/storm/testing/SpoutTracker.java;88;267;169;94;21.13;4;0;8;470;No
1;src/jvm/backtype/storm/testing/TestAggregatesCounter.java;46;77;63;45;7.88;4;0;8;495;No
1;src/jvm/backtype/storm/testing/TestGlobalCount.java;43;86;66;42;6;5;0;11;584;No
1;src/jvm/backtype/storm/testing/TestPlannerBolt.java;28;56;38;32;9.5;3;0;4;390;No
1;src/jvm/backtype/storm/testing/TestPlannerSpout.java;68;152;126;52;21;3;0;6;395;No
1;src/jvm/backtype/storm/testing/TestWordCounter.java;44;75;61;43;7.63;4;0;8;495;No
1;src/jvm/backtype/storm/testing/TestWordSpout.java;69;150;119;59;11.9;4;0;10;502;No
1;src/jvm/backtype/storm/testing/TrackerAggregator.java;72;290;73;72;14.6;2;0;5;352;No
1;src/jvm/backtype/storm/testing/TupleCaptureBolt.java;66;194;147;49;18.38;3;0;8;435;No
1;src/jvm/backtype/storm/topology/BasicBoltExecutor.java;50;139;111;36;7.4;5;0;15;542;No
1;src/jvm/backtype/storm/topology/BasicOutputCollector.java;45;76;62;42;8.86;2;0;7;359;No
1;src/jvm/backtype/storm/topology/IBasicBolt.java;11;21;21;11;7;1;0;3;117;No
1;src/jvm/backtype/storm/topology/IBasicOutputCollector.java;9;22;16;8;2.67;2;0;6;359;No
1;src/jvm/backtype/storm/topology/IComponent.java;12;53;50;17;12.5;3;0;4;390;No
1;src/jvm/backtype/storm/topology/IRichBolt.java;7;12;12;12;12;1;0;1;107;No
1;src/jvm/backtype/storm/topology/IRichSpout.java;7;46;22;19;5.5;3;0;4;390;No
1;src/jvm/backtype/storm/topology/IRichStateSpout.java;8;8;8;8;8;1;0;1;107;No
1;src/jvm/backtype/storm/topology/InputDeclarer.java;36;196;124;25;13.78;3;0;9;455;No
1;src/jvm/backtype/storm/topology/OutputFieldsDeclarer.java;12;27;21;15;5.25;2;0;4;348;No
1;src/jvm/backtype/storm/topology/OutputFieldsGetter.java;36;60;48;36;12;2;0;4;348;No
1;src/jvm/backtype/storm/topology/TopologyBuilder.java;237;1099;782;271;41.16;3;0;19;556;No
1;src/jvm/backtype/storm/tuple/Fields.java;77;109;103;53;14.71;4;0;7;277;No
1;src/jvm/backtype/storm/tuple/MessageId.java;81;165;123;81;10.25;5;0;12;540;No
1;src/jvm/backtype/storm/tuple/Tuple.java;71;2723;1046;144;27.53;8;0;38;706;No
1;src/jvm/backtype/storm/tuple/Values.java;16;32;32;16;6.4;2;0;5;149;No
1;src/jvm/backtype/storm/utils/BufferFileInputStream.java;37;37;37;37;37;1;0;1;107;No
1;src/jvm/backtype/storm/utils/CRC32OutputStream.java;27;27;27;27;27;1;0;1;107;No
1;src/jvm/backtype/storm/utils/DRPCClient.java;67;366;229;47;19.08;3;0;12;331;No
1;src/jvm/backtype/storm/utils/KeyedRoundRobinQueue.java;51;51;51;51;51;1;0;1;107;No
1;src/jvm/backtype/storm/utils/LocalState.java;69;124;110;44;22;2;0;5;124;No
1;src/jvm/backtype/storm/utils/NimbusClient.java;38;278;148;44;10.57;5;0;14;353;No
1;src/jvm/backtype/storm/utils/Time.java;84;196;151;78;10.79;4;0;14;473;No
1;src/jvm/backtype/storm/utils/TimeCacheMap.java;132;418;274;149;30.44;2;0;9;241;No
1;src/jvm/backtype/storm/utils/Utils.java;356;1424;1104;206;16.48;11;0;67;828;No
1;src/jvm/backtype/storm/utils/VersionedStore.java;165;187;181;166;45.25;2;0;4;203;No
1;src/jvm/backtype/storm/utils/WritableUtils.java;220;358;358;358;358;1;0;1;107;No
1;src/jvm/backtype/storm/clojure/ClojureSpout.java;135;282;227;109;22.7;4;0;10;401;No
1;src/jvm/storm/starter/RollingTopWords.java;56;287;150;48;21.43;2;0;7;146;No
1;src/jvm/storm/starter/bolt/MergeObjects.java;83;317;117;110;16.71;2;0;7;81;No
1;src/jvm/storm/starter/bolt/RankObjects.java;76;296;110;105;15.71;2;0;7;81;No
1;src/jvm/storm/starter/bolt/RollingCountObjects.java;110;340;115;113;28.75;2;0;4;78;No
1;src/jvm/backtype/storm/serialization/JavaSerialization.java;26;60;30;30;15;1;0;2;20;No
1;src/jvm/backtype/storm/testing/TestSerObject.java;21;42;41;20;8.2;2;0;5;184;No
1;src/jvm/backtype/storm/testing/TestSerObjectSerialization.java;28;56;28;28;14;1;0;2;20;No
1;src/jvm/backtype/storm/generated/KillOptions.java;251;640;640;320;320;2;0;2;169;No
1;src/jvm/backtype/storm/testing/FeederSpoutAdder.java;17;34;17;17;8.5;1;0;2;14;No
1;src/jvm/backtype/storm/utils/InprocMessaging.java;42;142;113;65;28.25;2;0;4;170;No
1;src/jvm/backtype/storm/drpc/DRPCSpout.java;151;454;378;159;15.75;6;0;24;477;No
1;src/jvm/backtype/storm/ILocalDRPC.java;10;25;23;10;5.75;2;0;4;192;No
1;src/jvm/backtype/storm/generated/DRPCExecutionException.java;258;656;656;328;328;2;0;2;178;No
1;src/jvm/backtype/storm/generated/DRPCRequest.java;159;850;850;425;425;2;0;2;178;No
1;src/jvm/backtype/storm/utils/ServiceRegistry.java;29;61;61;30;15.25;2;0;4;224;No
1;src/jvm/storm/starter/bolt/PrinterBolt.java;20;60;40;30;10;2;0;4;83;No
1;src/jvm/storm/starter/BasicDRPCTopology.java;54;169;115;68;23;2;0;5;85;No
1;src/jvm/storm/starter/ReachTopology.java;163;635;407;226;67.83;2;0;6;90;No
1;src/jvm/backtype/storm/drpc/IStintBolt.java;8;16;8;8;4;1;0;2;14;No
1;src/jvm/backtype/storm/drpc/KeyedFairBolt.java;76;64;50;18;7.14;3;0;7;329;No
1;src/jvm/backtype/storm/drpc/LinearDRPCTopologyBuilder.java;365;1131;949;366;45.19;3;0;21;412;No
1;src/jvm/backtype/storm/drpc/StintBoltExecutor.java;18;36;18;18;9;1;0;2;14;No
1;src/jvm/backtype/storm/drpc/CoordinatedBolt.java;239;390;85;33;6.54;2;0;13;220;No
1;src/jvm/backtype/storm/drpc/JoinResult.java;58;181;147;62;10.5;4;0;14;535;No
1;src/jvm/backtype/storm/drpc/LinearDRPCInputDeclarer.java;32;95;80;32;10;3;0;8;353;No
1;src/jvm/backtype/storm/drpc/PrepareRequest.java;42;127;104;43;13;3;0;8;372;No
1;src/jvm/storm/starter/SingleJoinExample.java;47;123;85;47;21.25;2;0;4;76;No
1;src/jvm/storm/starter/bolt/SingleJoinBolt.java;97;267;182;102;36.4;2;0;5;82;No
1;src/main/java/backtype/storm/contrib/jms/example/ExampleJmsTopology.java;63;140;70;70;35;1;0;2;6;No
1;src/main/java/backtype/storm/contrib/jms/JmsMessageProducer.java;14;43;38;25;12.67;1;0;3;17;No
1;src/main/java/backtype/storm/contrib/jms/JmsProvider.java;11;32;31;30;15.5;1;0;2;11;No
1;src/main/java/backtype/storm/contrib/jms/JmsTupleProducer.java;15;45;43;41;21.5;1;0;2;11;No
1;src/main/java/backtype/storm/contrib/jms/bolt/JmsBolt.java;117;253;229;153;28.63;3;0;8;23;No
1;src/main/java/backtype/storm/contrib/jms/example/GenericBolt.java;80;99;99;99;99;1;0;1;7;No
1;src/main/java/backtype/storm/contrib/jms/example/JsonTupleProducer.java;28;41;41;41;41;1;0;1;7;No
1;src/main/java/backtype/storm/contrib/jms/example/SpringJmsProvider.java;31;58;58;58;58;1;0;1;7;No
1;src/main/java/backtype/storm/contrib/jms/spout/JmsSpout.java;257;529;458;312;41.64;3;0;11;28;No
1;examples/src/main/java/backtype/storm/contrib/jms/example/ExampleJmsTopology.java;102;132;123;109;20.5;2;0;6;6;No
1;examples/src/main/java/backtype/storm/contrib/jms/example/GenericBolt.java;80;8;4;2;1.33;2;0;3;12;No
1;examples/src/main/java/backtype/storm/contrib/jms/example/JsonTupleProducer.java;28;0;0;0;0;1;0;1;6;No
1;examples/src/main/java/backtype/storm/contrib/jms/example/SpringJmsProvider.java;31;0;0;0;0;1;0;1;6;No
1;src/jvm/backtype/storm/testing/NGrouping.java;33;110;88;33;9.78;4;0;9;312;No
1;src/jvm/backtype/storm/generated/JavaObject.java;164;926;926;463;463;2;0;2;181;No
1;src/jvm/backtype/storm/generated/JavaObjectArg.java;494;1064;1064;532;532;2;0;2;181;No
1;src/jvm/backtype/storm/grouping/CustomStreamGrouping.java;13;113;83;27;7.55;4;0;11;325;No
1;src/jvm/backtype/storm/serialization/KryoValuesDeserializer.java;34;140;110;29;9.17;5;0;12;437;No
1;src/jvm/backtype/storm/serialization/KryoValuesSerializer.java;37;168;134;40;12.18;4;0;11;430;No
1;src/jvm/backtype/storm/serialization/ITupleDeserializer.java;8;18;17;8;5.67;2;0;3;186;No
1;src/jvm/backtype/storm/serialization/ITupleSerializer.java;8;28;23;10;3.83;3;0;6;282;No
1;src/jvm/backtype/storm/serialization/KryoTupleDeserializer.java;42;499;295;63;21.07;4;0;14;431;No
1;src/jvm/backtype/storm/serialization/KryoTupleSerializer.java;34;704;393;83;30.23;4;0;13;429;No
1;src/jvm/backtype/storm/serialization/KryoFactory.java;73;78;76;74;38;1;0;2;17;No
1;src/jvm/backtype/storm/utils/ListDelegate.java;139;278;278;130;69.5;3;0;4;191;No
1;src/jvm/backtype/storm/utils/Container.java;7;21;21;7;7;2;0;3;209;No
1;src/jvm/backtype/storm/utils/RegisteredGlobalState.java;40;141;141;47;47;2;0;3;213;No
1;src/jvm/backtype/storm/utils/ClojureTimerTask.java;18;36;36;18;18;2;0;2;167;No
1;src/jvm/backtype/storm/generated/RebalanceOptions.java;423;961;915;320;130.71;2;0;7;192;No
1;src/jvm/backtype/storm/generated/TransactionalSpoutSpec.java;401;1048;524;524;262;1;0;2;17;No
1;src/jvm/backtype/storm/transactional/ITransactional.java;6;12;6;6;3;1;0;2;26;No
1;src/jvm/backtype/storm/transactional/ITransactionalSpout.java;29;400;332;77;12.77;4;0;26;432;No
1;src/jvm/backtype/storm/transactional/ITransactionalSpoutOutputCollector.java;8;22;11;11;5.5;1;0;2;26;No
1;src/jvm/backtype/storm/transactional/TransactionalSpoutOutputCollector.java;28;38;37;36;18.5;1;0;2;26;No
1;src/jvm/backtype/storm/generated/TransactionalBolt.java;436;1122;561;561;280.5;1;0;2;33;No
1;src/jvm/backtype/storm/transactional/TransactionalBoltExecutor.java;116;396;198;46;11;1;0;18;127;No
1;src/jvm/backtype/storm/transactional/ITransactionalBolt.java;13;40;28;17;5.6;1;0;5;69;No
1;src/jvm/backtype/storm/task/BoltEmitter.java;52;332;166;166;83;1;0;2;29;No
1;src/jvm/backtype/storm/task/IBoltEmitter.java;10;26;13;13;6.5;1;0;2;29;No
1;src/jvm/backtype/storm/transactional/TransactionTuple.java;33;78;39;26;13;1;0;3;51;No
1;src/jvm/backtype/storm/tuple/IAnchorable.java;5;28;14;8;3.5;1;0;4;62;No
1;src/jvm/backtype/storm/testing/NonRichBoltTracker.java;34;102;102;34;34;3;0;3;272;No
1;src/jvm/backtype/storm/transactional/TransactionAttempt.java;43;170;151;44;15.1;3;0;10;297;No
1;src/jvm/backtype/storm/coordination/CoordinatedBolt.java;359;1548;1203;327;30.85;6;0;39;648;No
1;src/jvm/backtype/storm/transactional/TransactionalTopologyBuilder.java;486;1727;1587;492;40.69;5;0;39;459;No
1;src/jvm/backtype/storm/transactional/ITransactionState.java;11;13;12;11;6;1;0;2;22;No
1;src/jvm/backtype/storm/coordination/FinishedTuple.java;8;16;8;8;4;1;0;2;32;No
1;src/jvm/backtype/storm/coordination/FinishedTupleImpl.java;21;42;21;21;10.5;1;0;2;32;No
1;src/jvm/backtype/storm/transactional/TransactionalOutputCollectorImpl.java;31;59;45;36;15;1;0;3;42;No
1;src/jvm/backtype/storm/transactional/TransactionalSpoutBatchExecutor.java;77;352;295;78;11.8;5;0;25;557;No
1;src/jvm/backtype/storm/tuple/IAnchorableImpl.java;5;10;5;5;2.5;1;0;2;32;No
1;src/jvm/backtype/storm/transactional/ICommittable.java;5;10;5;5;2.5;1;0;2;33;No
1;src/jvm/backtype/storm/transactional/TransactionalOutputCollector.java;19;15;3;3;3;1;0;1;21;No
1;src/jvm/backtype/storm/transactional/TransactionalSpoutCoordinator.java;194;997;799;196;15.37;6;0;52;693;No
1;src/jvm/backtype/storm/transactional/ICoordinatorState.java;11;13;1;1;0.5;1;0;2;8;No
1;src/jvm/backtype/storm/drpc/DRPCInvocationsClient.java;74;226;224;74;44.8;2;0;5;186;No
1;src/jvm/backtype/storm/generated/DistributedRPCInvocations.java;1313;6045;6045;2015;2015;2;0;3;181;No
