Release;File;Size;LocTouched;LocAdded;MaxLocAdded;AvgLocAdded;Nauth;Nfix;Nr;ChgSetSize;Buggy
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/BookieReadWriteTest.java;603;720;720;720;720.00;1;0;1;206;No
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/BookieRecoveryTest.java;250;400;400;400;400.00;1;0;1;206;No
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/CloseTest.java;43;74;74;74;74.00;1;0;1;206;No
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/ConcurrentLedgerTest.java;154;178;178;178;178.00;1;0;1;206;No
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/LedgerDeleteTest.java;99;163;163;163;163.00;1;0;1;206;No
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/LedgerRecoveryTest.java;55;88;88;88;88.00;1;0;1;206;No
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/LoopbackClient.java;91;117;117;117;117.00;1;0;1;206;No
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/NIOServerFactoryTest.java;40;60;60;60;60.00;1;0;1;206;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java;11;64;56;48;18.67;2;0;3;403;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java;15;71;67;63;33.50;2;0;2;376;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java;48;277;257;237;128.50;2;0;2;376;Yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java;112;145;139;133;46.33;2;0;3;403;Yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java;114;163;150;136;37.50;2;0;4;495;Yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java;149;185;181;176;60.33;2;0;3;468;Yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java;29;48;47;46;23.50;2;0;2;376;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java;104;146;137;127;27.40;3;1;5;495;Yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java;88;155;152;148;50.67;2;0;3;468;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java;29;60;59;58;29.50;2;0;2;376;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java;91;155;152;149;76.00;2;0;2;376;Yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java;51;82;78;74;39.00;2;0;2;376;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java;15;37;37;37;37.00;1;0;1;206;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java;15;42;40;38;20.00;2;0;2;376;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java;15;41;40;39;20.00;2;0;2;376;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java;59;118;107;95;26.75;2;0;4;495;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java;51;94;91;87;30.33;2;0;3;468;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java;45;85;78;70;19.50;2;0;4;495;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java;72;132;123;113;30.75;2;0;4;495;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java;186;492;414;329;69.00;3;2;6;495;Yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java;54;102;93;83;23.25;2;0;4;495;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java;38;68;63;58;21.00;2;0;3;403;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java;74;137;130;122;32.50;2;0;4;495;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClient.java;214;380;370;359;123.33;2;0;3;468;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java;141;255;243;224;48.60;2;0;5;495;Yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java;411;704;645;585;161.25;2;0;4;495;Yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java;235;414;390;365;78.00;2;0;5;503;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java;61;117;108;98;27.00;2;0;4;495;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java;23;41;41;41;41.00;1;0;1;206;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java;46;92;79;65;39.50;2;0;2;376;No
1;hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java;26;56;55;45;18.33;3;0;3;414;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java;11;55;51;47;25.50;2;0;2;376;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java;120;223;203;185;50.75;3;0;4;472;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java;32;49;49;49;49.00;1;0;1;206;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/Either.java;33;50;50;50;50.00;1;0;1;206;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java;81;102;100;97;50.00;2;0;2;298;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java;90;138;138;138;138.00;1;0;1;206;Yes
1;hedwig-client/src/main/java/org/apache/hedwig/util/Option.java;26;43;43;43;43.00;1;0;1;206;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java;25;42;42;42;42.00;1;0;1;206;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java;18;56;56;56;56.00;1;0;1;206;Yes
1;hedwig-client/src/test/java/org/apache/hedwig/client/AppTest.java;19;53;52;51;26.00;2;0;2;376;No
1;hedwig-client/src/test/java/org/apache/hedwig/util/TestFileUtils.java;24;41;41;41;41.00;1;0;1;206;No
1;hedwig-client/src/test/java/org/apache/hedwig/util/TestHedwigSocketAddress.java;86;118;111;104;55.50;2;0;2;376;No
1;hedwig-client/src/test/java/org/apache/hedwig/util/TestPathUtils.java;36;54;54;54;54.00;1;0;1;206;No
1;hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java;135;164;163;162;81.50;2;0;2;376;Yes
1;hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java;120;157;155;153;77.50;2;0;2;376;No
1;hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java;23;43;43;43;43.00;1;0;1;206;Yes
1;hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java;20;43;42;41;21.00;2;0;2;376;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java;87;207;156;104;52.00;2;0;3;468;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java;88;191;148;103;29.60;3;0;5;532;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java;75;160;126;91;31.50;3;0;4;484;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java;82;201;151;100;50.33;2;0;3;468;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java;26;45;45;45;45.00;1;0;1;206;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java;79;291;290;289;145.00;2;0;2;376;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java;15;38;35;31;17.50;2;0;2;298;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java;91;111;111;111;111.00;1;0;1;206;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java;15;37;36;35;18.00;2;0;2;376;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java;63;81;81;81;81.00;1;0;1;206;Yes
